Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
180,SEZL,167.32,177.63,757175,Financial Services,Credit Services,96.0,98.0,98.0,97.0,11.4831,10.8881,717718.0,626750.0,185.0,49.5,,5626473472,NO,156.54,123.8,83.1,134.9,91.27,706,0.0,791852,NO,NO,2023-09-19,10405200,-9.56
181,HNGE,88.5,89.3,1775258,Healthcare,Health Information Services,96.0,97.0,98.0,96.0,4.0549,4.0549,1793224.0,2798460.0,90.91,30.08,,6848141312,NO,74.57,62.24,49.23,67.19,50.41,282,0.0,1775258,NO,NO,2025-05-22,9172800,-2.65
184,MRNA,73.8,79.77,6433371,Healthcare,Biotechnology,96.0,98.0,94.0,97.0,6.2127,6.0234,7856416.0,10889940.0,85.6,22.28,,29282828288,NO,63.09,54.18,41.92,57.96,49.57,1904,0.0,6437174,NO,NO,2020-12-01,125130400,-13.79
185,MTRN,248.31,247.2,183523,Basic Materials,Other Industrial Metals & Mining,96.0,90.0,96.0,96.0,15.6207,14.2421,339429.0,530670.0,298.87,82.14,,5165216256,NO,263.54,229.03,160.03,238.32,179.0,11671,0.0,183523,NO,NO,2007-06-20,4251800,-16.92
187,AXGN,42.75,44.57,1025169,Healthcare,Medical Devices,96.0,30.0,92.0,89.0,2.7207,2.6836,1216875.0,1725750.0,46.95,11.25,,2273351936,NO,44.09,42.54,32.09,42.76,36.71,9963,0.0,1025169,NO,NO,2025-07-29,5556000,-8.95
191,CEVA,44.56,42.76,543368,Technology,Semiconductors,96.0,63.0,98.0,96.0,4.0986,3.5893,869655.0,763160.0,51.6,17.02,,1241413504,NO,44.89,40.68,27.36,41.95,28.65,5956,0.0,543368,NO,NO,2025-11-19,4236800,-13.64
195,IRDM,50.48,51.09,2176013,Communication Services,Telecom Services,96.0,82.0,94.0,98.0,3.3314,2.7299,2863226.0,4156700.0,57.18,15.65,,5348672512,NO,47.73,45.66,27.8,47.07,32.75,4603,0.0,2176013,NO,NO,2021-02-11,24324300,-11.72
201,XMTR,89.51,93.1,716432,Industrials,Industrial Distribution,96.0,88.0,97.0,88.0,5.2339,5.0782,875255.0,843760.0,99.86,30.63,,4945332736,NO,90.44,82.65,60.91,88.73,64.25,1260,0.0,716432,NO,NO,2026-02-24,6999500,-10.36
202,SPHR,151.08,156.48,606611,Communication Services,Entertainment,96.0,85.0,83.0,94.0,8.77,8.7461,707055.0,787930.0,174.6,37.89,,5407486464,NO,157.14,144.8,105.86,147.03,122.56,1568,0.0,606611,NO,NO,2023-12-05,9793100,-13.47
205,AIS,73.96,72.37,607413,ETF,ETF,96.0,76.0,96.0,96.0,5.1856,3.3826,628839.0,936140.0,88.8,27.52,,0,NO,78.94,73.17,49.12,74.48,54.62,398,0.0,607413,NO,NO,2026-07-02,1490800,-16.71
208,DDOG,261.09,256.81,3284404,Technology,Software - Application,96.0,89.0,97.0,96.0,12.1422,11.7647,5914393.0,4552080.0,278.7,98.01,,92937641984,NO,238.26,215.61,157.92,232.6,160.64,1708,0.0,3284404,NO,NO,2025-07-08,86386000,-6.32
217,MPLT,38.53,37.06,373206,Healthcare,Biotechnology,96.0,97.0,95.0,97.0,2.6235,2.6049,366685.0,539360.0,38.76,12.24,,1747168896,NO,31.83,30.24,,30.77,23.84,174,0.0,373206,NO,NO,2025-12-19,3294600,-0.59
223,CORT,92.94,94.04,1037027,Healthcare,Biotechnology,96.0,96.0,97.0,97.0,3.8261,3.7711,1086496.0,1013080.0,94.77,28.66,,9977256960,NO,84.78,69.16,60.85,74.43,54.09,5593,0.0,1037027,NO,NO,2020-09-02,88404100,-1.93
230,FROG,92.73,96.2,2279140,Technology,Software - Application,95.0,88.0,97.0,93.0,5.3184,5.2741,3039644.0,5089610.0,99.22,34.05,,11231432704,NO,84.78,74.41,57.66,80.98,60.35,1458,0.0,2279140,NO,NO,2026-06-26,26093700,-6.54
234,PSI,151.33,148.34,272974,ETF,ETF,95.0,75.0,94.0,96.0,11.4721,8.3564,448531.0,484100.0,189.24,57.31,,0,NO,167.31,155.73,104.73,157.79,118.46,5292,0.0,273174,NO,NO,2007-10-25,9293700,-20.03
237,SEPN,36.4,35.83,940836,Healthcare,Biotechnology,95.0,93.0,93.0,89.0,2.7081,2.5431,401714.0,688400.0,37.99,10.62,,1640749440,NO,34.83,30.18,26.01,32.04,28.03,424,0.0,940836,NO,NO,2025-05-14,37815800,-4.19
238,EWY,182.72,181.29,22653855,ETF,ETF,95.0,75.0,93.0,95.0,11.9379,7.9164,19055281.0,23328990.0,220.89,70.36,,0,NO,196.51,189.04,129.94,190.89,148.0,6576,0.0,22653855,YES,NO,2026-03-03,65699600,-17.28
240,SOXX,562.03,551.69,7087123,ETF,ETF,95.0,75.0,95.0,95.0,36.8264,26.0928,9220426.0,11326590.0,655.95,232.33,,0,NO,596.86,552.85,380.92,562.9,423.53,6282,0.0,7087123,NO,NO,2025-10-10,26691200,-14.32
241,DAVE,375.51,383.96,522551,Technology,Software - Application,95.0,98.0,97.0,94.0,25.378,24.9851,615691.0,648470.0,409.0,152.21,,4774326784,NO,331.1,286.35,227.23,297.42,237.27,1306,0.0,522551,NO,NO,2022-07-27,3887050,-8.19
242,PTGX,140.07,140.85,849755,Healthcare,Biotechnology,95.0,98.0,91.0,94.0,5.3629,5.3296,702322.0,1002100.0,141.08,49.88,,9008094208,NO,119.63,107.79,91.53,111.39,97.77,2489,0.0,849755,NO,NO,2021-10-11,45683600,-0.72
244,USD,90.55,85.68,613666,ETF,ETF,95.0,62.0,96.0,94.0,8.8007,6.5414,1062326.0,961700.0,116.5,37.81,,0,NO,96.75,95.08,64.77,95.43,70.1,4888,0.0,613666,NO,NO,2008-12-09,144076800,-22.27
246,ONTO,291.45,279.93,1243207,Technology,Semiconductor Equipment & Materials,95.0,92.0,90.0,94.0,29.8364,23.3382,1248983.0,1684360.0,386.46,89.4,,14497763328,NO,319.69,293.08,208.46,291.08,240.44,1681,0.0,1243207,NO,NO,2023-10-17,9552200,-24.58
247,FLKR,59.72,59.44,349683,ETF,ETF,95.0,81.0,93.0,95.0,3.8729,2.4381,752121.0,899880.0,72.49,23.88,,0,NO,64.03,61.34,42.51,61.92,48.1,2148,0.0,349683,NO,NO,2024-07-25,4655000,-17.62
251,LGND,314.88,319.43,404963,Healthcare,Biotechnology,95.0,97.0,94.0,94.0,14.8043,14.2143,327268.0,778320.0,326.63,116.44,,6310529024,NO,284.53,249.95,209.62,260.14,221.24,8465,0.0,404963,NO,NO,2019-01-16,13747168,-3.6
254,CRS,587.63,590.35,556459,Industrials,Metal Fabrication,95.0,94.0,94.0,95.0,24.4754,23.5539,748921.0,1068970.0,625.99,228.0,,29196756992,NO,581.21,499.29,377.94,514.81,420.51,13457,0.0,556459,NO,NO,2020-07-31,10557100,-6.13
256,FIX,1684.94,1683.4399,450784,Industrials,Engineering & Construction,95.0,6.0,79.0,94.0,114.8114,92.5814,460049.0,582790.0,2073.99,513.99,,59282874368,NO,1876.83,1882.2,1321.17,1857.1,1498.48,7301,0.0,450784,NO,NO,2025-12-19,8010000,-18.76
259,PDFS,52.42,51.63,753827,Technology,Software - Application,95.0,59.0,94.0,95.0,5.2566,4.3409,821637.0,965780.0,71.69,18.12,,2194705920,NO,62.08,53.58,36.62,54.68,41.11,6270,0.0,753827,NO,NO,2026-05-14,5406700,-26.88
263,FTNT,156.71,158.67,4340932,Technology,Software - Infrastructure,95.0,85.0,97.0,96.0,6.1627,6.0377,6466644.0,6008430.0,163.57,70.12,,114813329408,NO,149.8,131.28,94.33,140.88,101.06,4182,0.0,4340932,NO,NO,2018-10-10,166853000,-4.19
265,SOXQ,98.95,96.78,2905237,ETF,ETF,95.0,67.0,95.0,95.0,6.219,4.3979,2565018.0,3369300.0,115.33,42.67,,0,NO,105.06,98.13,69.03,99.72,76.11,1273,0.0,2905237,NO,NO,2026-06-05,6881000,-14.2
267,RAPP,41.99,39.72,978585,Healthcare,Biotechnology,95.0,92.0,86.0,92.0,2.6704,2.6261,369195.0,557270.0,43.76,12.71,,2008252800,NO,38.62,37.47,30.9,38.52,32.95,521,0.03,978585,NO,NO,2025-09-08,13877600,-4.04
270,GGLL,116.23,119.71,777316,ETF,ETF,95.0,9.0,90.0,77.0,7.6221,6.8736,1441790.0,1279390.0,153.0,33.27,,0,NO,115.13,126.57,99.28,125.39,107.44,961,0.0,777316,NO,NO,2025-05-07,11451700,-24.03
274,BHE,81.8,81.01,359945,Technology,Electronic Components,95.0,16.0,93.0,96.0,5.4593,4.7493,493681.0,668610.0,100.41,34.44,,2934741760,NO,90.06,86.17,58.71,86.6,66.11,9072,0.0,359945,NO,NO,2003-04-22,6885225,-18.53
283,KYMR,114.16,119.24,787884,Healthcare,Biotechnology,95.0,98.0,90.0,93.0,8.4336,7.8339,779321.0,1679880.0,130.05,36.65,,9390526464,NO,99.98,88.51,77.42,91.52,84.11,1475,0.0,787884,NO,NO,2025-12-08,7495500,-12.22
288,TSMX,86.83,85.38,697166,ETF,ETF,95.0,82.0,93.0,93.0,9.3666,7.3285,1118414.0,1127050.0,106.32,30.79,,0,NO,90.01,85.03,63.39,85.06,69.48,440,0.0,697166,NO,NO,2025-01-27,3911500,-18.33
289,LSCC,132.48,130.6,1556879,Technology,Semiconductors,95.0,16.0,91.0,94.0,9.7882,8.1832,2212101.0,2231880.0,157.01,46.43,,18150799360,NO,142.65,136.65,96.46,137.92,107.73,9230,0.0,1556879,NO,NO,2016-11-03,33890700,-15.62
291,VRT,317.81,305.58,3876689,Industrials,Electrical Equipment & Parts,95.0,80.0,83.0,96.0,25.1093,19.2304,6303504.0,8369130.0,379.94,110.06,,122073620480,NO,312.56,324.43,235.11,321.28,262.56,1992,0.0,3876689,NO,NO,2026-03-20,87826600,-16.35
296,ATRO,71.17,70.19,672433,Industrials,Aerospace & Defense,95.0,79.0,85.0,92.0,4.82,4.7286,743832.0,957890.0,88.72,21.76,,3512126208,NO,77.26,69.02,54.13,70.77,60.95,11671,0.0,672433,NO,NO,2025-09-10,7185830,-19.78
297,TWLO,215.5,211.97,1497601,Technology,Software - Infrastructure,95.0,11.0,95.0,93.0,9.5297,9.3347,2728436.0,1954310.0,238.48,91.84,,32707266560,NO,199.51,195.26,141.52,201.11,153.52,2523,0.0,1497601,NO,NO,2022-11-04,44840800,-9.64
298,MIRM,128.57,128.31,798859,Healthcare,Biotechnology,95.0,97.0,91.0,95.0,6.2514,6.0867,998280.0,1246310.0,129.0,50.25,,7840356864,NO,111.99,104.53,88.85,108.74,97.59,1752,0.0,798859,NO,NO,2019-12-16,8442800,-0.33
301,PANW,320.59,337.04,9326233,Technology,Software - Infrastructure,94.0,93.0,97.0,95.0,16.0964,15.9977,8319726.0,8001090.0,368.17,139.57,,261280841728,NO,303.27,261.08,203.49,280.53,206.87,3510,0.0,9326233,YES,NO,2017-03-01,130718400,-12.92
303,AXSM,245.57,249.76,761993,Healthcare,Biotechnology,94.0,80.0,93.0,91.0,9.5746,9.5089,928004.0,1745640.0,260.19,96.09,,12636975104,NO,246.22,232.26,175.41,238.51,195.22,2671,0.0,761993,NO,NO,2019-01-07,51674500,-5.62
310,SYNA,123.37,119.37,1360782,Technology,Semiconductors,94.0,42.0,96.0,93.0,9.0286,7.9314,1093170.0,2053050.0,149.11,58.28,,4819162624,NO,129.68,125.46,88.11,130.06,97.17,6149,0.0,1360782,NO,NO,2005-02-09,38096250,-17.26
312,GFS,67.97,65.84,2350447,Technology,Semiconductors,94.0,5.0,94.0,96.0,5.3074,4.141,4803124.0,3478780.0,92.55,31.51,,37295198208,NO,78.92,76.17,49.61,77.11,56.03,1176,0.09,2350447,NO,NO,2025-12-19,52580300,-26.56
318,MRX,67.18,67.21,805431,Financial Services,Capital Markets,94.0,94.0,93.0,95.0,3.6312,3.5612,1044318.0,1227770.0,69.47,27.91,,4832315904,NO,63.57,57.92,42.98,59.47,47.85,551,0.0,820366,NO,NO,2024-04-25,7269100,-3.3
319,ENVA,224.9,237.0,370219,Financial Services,Credit Services,94.0,97.0,95.0,90.0,9.2402,8.9581,309008.0,517260.0,246.38,99.61,,5596613120,NO,212.81,184.78,151.2,190.98,165.16,2927,0.0,370219,NO,NO,2015-12-18,2255200,-8.72
320,HUM,396.29,394.62,843570,Healthcare,Healthcare Plans,94.0,91.0,97.0,91.0,13.8007,13.715,1624157.0,1413580.0,415.0,163.11,,47579172864,NO,378.27,324.91,254.89,346.03,257.36,11218,0.4,843570,NO,NO,2008-03-12,64314100,-4.51
