IndustryRank,Ticker,Price,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,Gap (%),IPO,HVE
4,DG,118.17,Consumer Defensive,Discount Stores,31.0,86.0,30.0,9.0,3.9209,3.6423,1.09,NO,NO
5,WMT,111.84,Consumer Defensive,Discount Stores,28.0,37.0,7.0,30.0,2.8907,2.6529,0.47,NO,NO
1,LLY,1213.91,Healthcare,Drug Manufacturers - General,88.0,89.0,85.0,64.0,38.4193,38.325,0.11,NO,NO
2,BIIB,216.12,Healthcare,Drug Manufacturers - General,87.0,89.0,76.0,80.0,6.82,6.5095,1.33,NO,NO
3,JNJ,263.04,Healthcare,Drug Manufacturers - General,84.0,92.0,49.0,84.0,6.225,5.59,0.71,NO,NO
4,MRK,129.56,Healthcare,Drug Manufacturers - General,84.0,87.0,48.0,80.0,3.445,3.2214,0.64,NO,NO
5,ABBV,261.07,Healthcare,Drug Manufacturers - General,76.0,93.0,81.0,66.0,7.2504,6.5725,0.49,NO,NO
1,LQDA,78.93,Healthcare,Drug Manufacturers - Specialty & Generic,98.0,97.0,97.0,97.0,4.3536,4.2643,0.0,NO,NO
2,BIOA,25.1,Healthcare,Drug Manufacturers - Specialty & Generic,97.0,98.0,91.0,95.0,1.6768,1.6761,0.7,NO,NO
3,ETON,37.5,Healthcare,Drug Manufacturers - Specialty & Generic,95.0,97.0,93.0,97.0,1.5232,1.5232,0.85,NO,NO
4,ALKS,54.58,Healthcare,Drug Manufacturers - Specialty & Generic,94.0,96.0,94.0,96.0,2.2021,2.0979,0.26,NO,NO
5,LNTH,109.89,Healthcare,Drug Manufacturers - Specialty & Generic,93.0,89.0,92.0,94.0,3.1303,3.0761,0.0,NO,NO
1,OSCG,33.17,ETF,ETF,98.0,98.0,98.0,98.0,2.4678,1.7941,0.0,NO,NO
2,OSCX,128.19,ETF,ETF,98.0,98.0,98.0,98.0,10.3111,8.2726,0.0,NO,NO
3,LABX,151.74,ETF,ETF,98.0,89.0,98.0,98.0,33.9503,31.1467,0.0,NO,NO
4,INTW,37.1,ETF,ETF,98.0,88.0,98.0,98.0,7.5163,6.4788,0.0,NO,NO
5,LINT,187.8,ETF,ETF,98.0,88.0,98.0,98.0,37.2862,31.976,0.0,NO,NO
1,LINC,52.33,Consumer Defensive,Education & Training Services,95.0,78.0,83.0,96.0,2.4193,2.4193,0.0,NO,NO
2,UTI,48.24,Consumer Defensive,Education & Training Services,91.0,90.0,87.0,95.0,2.1996,2.1925,0.0,NO,NO
3,APEI,56.72,Consumer Defensive,Education & Training Services,88.0,82.0,16.0,92.0,2.2514,2.2357,0.57,NO,NO
4,JDZG,50.0,Consumer Defensive,Education & Training Services,79.0,71.0,98.0,0.0,0.0,0.0,0.0,NO,NO
5,LAUR,38.2,Consumer Defensive,Education & Training Services,78.0,90.0,51.0,64.0,1.2821,1.265,0.0,NO,NO
1,OGE,49.44,Utilities,Electric utilities,46.0,77.0,36.0,69.0,0.775,0.7471,0.85,NO,NO
2,ELC,20.09,Utilities,Electric utilities,16.0,53.0,21.0,20.0,0.107,0.1006,0.0,NO,NO
1,FCEL,28.11,Industrials,Electrical Equipment & Parts,98.0,89.0,98.0,98.0,4.6143,4.525,0.0,NO,NO
2,BE,270.89,Industrials,Electrical Equipment & Parts,98.0,10.0,97.0,98.0,35.1846,30.8525,0.0,NO,NO
3,RFIL,17.81,Industrials,Electrical Equipment & Parts,96.0,20.0,95.0,98.0,2.2229,2.1979,0.0,NO,NO
4,POWL,246.33,Industrials,Electrical Equipment & Parts,96.0,4.0,88.0,97.0,19.7171,17.4314,0.0,NO,NO
5,PLPC,368.77,Industrials,Electrical Equipment & Parts,94.0,20.0,85.0,95.0,21.84,20.5193,0.0,NO,NO
1,VICR,282.95,Technology,Electronic Components,98.0,6.0,96.0,97.0,32.7175,28.6782,0.0,NO,NO
2,OUST,49.84,Technology,Electronic Components,97.0,81.0,98.0,97.0,7.0249,6.5456,0.0,NO,NO
3,MEI,15.3,Technology,Electronic Components,96.0,94.0,98.0,97.0,1.825,1.6407,0.0,NO,NO
4,SANM,219.77,Technology,Electronic Components,95.0,3.0,95.0,91.0,15.9007,14.9057,0.0,NO,NO
5,BHE,86.13,Technology,Electronic Components,95.0,29.0,93.0,96.0,5.0636,4.4807,0.0,NO,NO
1,EA,205.21,Communication Services,Electronic Gaming & Multimedia,44.0,64.0,29.0,33.0,0.9471,0.8607,0.0,NO,NO
2,GRVY,65.58,Communication Services,Electronic Gaming & Multimedia,43.0,64.0,41.0,71.0,3.3789,3.3196,0.0,NO,NO
3,NTES,127.24,Communication Services,Electronic Gaming & Multimedia,18.0,65.0,63.0,11.0,3.5099,2.6649,0.0,NO,NO
4,RBLX,55.41,Communication Services,Electronic Gaming & Multimedia,2.0,94.0,12.0,2.0,3.803,3.2044,0.0,NO,NO
1,OLED,78.7,Electronic technology,Electronic production equipment,2.0,5.0,6.0,2.0,4.2179,4.0236,0.0,NO,NO
1,ARW,197.48,Technology,Electronics & Computer Distribution,91.0,7.0,89.0,95.0,7.9264,6.8414,0.0,NO,NO
2,AVT,82.18,Technology,Electronics & Computer Distribution,91.0,9.0,87.0,94.0,3.0757,2.7525,0.0,NO,NO
3,SNX,244.64,Technology,Electronics & Computer Distribution,91.0,8.0,87.0,93.0,11.4221,11.1279,0.0,NO,NO
4,NSIT,113.34,Technology,Electronics & Computer Distribution,84.0,19.0,95.0,88.0,5.4975,5.4889,0.0,NO,NO
5,SCSC,50.87,Technology,Electronics & Computer Distribution,83.0,77.0,91.0,85.0,1.2714,1.2239,0.0,NO,NO
1,CDNL,74.25,Industrials,Engineering & Construction,97.0,96.0,96.0,98.0,7.9912,7.9348,0.0,NO,NO
2,STRL,700.75,Industrials,Engineering & Construction,96.0,4.0,95.0,97.0,62.6868,56.4718,0.0,NO,NO
3,AGX,706.15,Industrials,Engineering & Construction,96.0,78.0,83.0,97.0,49.1597,43.4411,0.0,NO,NO
4,LGN,75.83,Industrials,Engineering & Construction,95.0,9.0,85.0,95.0,5.6233,5.3405,0.0,NO,NO
5,ESOA,17.86,Industrials,Engineering & Construction,94.0,91.0,90.0,97.0,0.9436,0.9057,0.0,NO,NO
1,STRZ,28.99,Communication Services,Entertainment,96.0,85.0,97.0,97.0,2.0632,2.0014,0.0,NO,NO
2,SPHR,163.79,Communication Services,Entertainment,96.0,90.0,90.0,94.0,7.3411,7.3172,0.0,NO,NO
3,MSGE,78.39,Communication Services,Entertainment,92.0,82.0,89.0,91.0,2.8042,2.7608,0.0,NO,NO
4,MSGS,395.16,Communication Services,Entertainment,92.0,70.0,83.0,92.0,13.0929,12.9861,0.0,NO,NO
5,ROKU,142.43,Communication Services,Entertainment,91.0,87.0,93.0,85.0,4.722,4.637,0.0,NO,NO
1,CAT,963.53,Industrials,Farm & Heavy Construction Machinery,94.0,77.0,88.0,94.0,44.5636,32.6407,0.0,NO,NO
2,BLBD,76.08,Industrials,Farm & Heavy Construction Machinery,90.0,75.0,87.0,94.0,2.6979,2.45,0.0,NO,NO
3,TEX,68.16,Industrials,Farm & Heavy Construction Machinery,81.0,86.0,64.0,84.0,3.3189,3.0189,0.0,NO,NO
4,DE,621.27,Industrials,Farm & Heavy Construction Machinery,77.0,79.0,52.0,86.0,18.0693,17.6329,0.0,NO,NO
5,ASTE,57.56,Industrials,Farm & Heavy Construction Machinery,72.0,85.0,36.0,86.0,2.3261,2.1468,0.0,NO,NO
1,ADM,76.79,Consumer Defensive,Farm Products,78.0,16.0,45.0,86.0,2.0357,1.9386,0.12,NO,NO
2,SDOT,50.55,Consumer Defensive,Farm Products,73.0,98.0,95.0,96.0,18.2622,17.1185,0.0,NO,NO
3,ALCO,41.8,Consumer Defensive,Farm Products,58.0,70.0,32.0,68.0,0.8593,0.8214,0.0,NO,NO
4,BG,106.46,Consumer Defensive,Farm Products,51.0,5.0,4.0,75.0,3.6757,3.4057,0.29,NO,NO
5,CHSCN,24.77,Consumer Defensive,Farm Products,24.0,33.0,19.0,27.0,0.2101,0.2036,0.0,NO,NO
