Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,Earning_Date,SMA50,SMA200,SMA10W,SMA30W
8212,PCR,20.16,2904.00,ETF,ETF,13.00,51.00,21.00,14.00,1383.00,800.00,25.37,18.97,,No,,20.16,,20.09,22.05
8213,QBTX,19.11,1816312.00,ETF,ETF,13.00,99.00,52.00,1.00,1878585.00,1686180.00,171.19,6.24,,No,,12.16,35.23,12.29,27.95
8214,BOC,11.53,258235.00,Industrials,Conglomerates,13.00,8.00,17.00,18.00,148328.00,219660.00,15.75,10.91,352094016.00,No,,12.20,12.75,12.01,12.39
8215,BIO,243.79,369807.00,Healthcare,Medical Devices,13.00,5.00,9.00,11.00,335208.00,464580.00,343.12,211.43,6524209664.00,No,,275.27,292.46,269.34,291.83
8216,SDP,11.03,9442.00,ETF,ETF,13.00,73.00,16.00,18.00,15073.00,3800.00,15.37,9.89,,No,,10.60,11.79,10.69,11.43
8217,MCD,274.60,5012811.00,Consumer Cyclical,Restaurants,13.00,6.00,10.00,18.00,3447723.00,4567800.00,341.75,271.98,195104915456.00,No,,307.45,309.01,300.17,309.45
8218,SHRT,6.57,8145.00,ETF,ETF,13.00,8.00,16.00,16.00,11148.00,18630.00,8.19,6.42,,No,,7.10,7.37,7.02,7.25
8219,ROL,52.88,2235065.00,Consumer Cyclical,Personal Services,13.00,16.00,9.00,16.00,3256091.00,2472400.00,66.14,52.32,25459798016.00,No,,55.06,58.06,54.21,58.30
8220,QBF,19.42,5614.00,ETF,ETF,13.00,75.00,69.00,10.00,9783.00,3800.00,29.11,16.67,,No,,18.10,22.66,18.23,20.53
8221,TREX,39.50,2191208.00,Industrials,Building Products & Equipment,13.00,43.00,15.00,81.00,1961630.00,2250800.00,68.78,29.77,4103999744.00,No,,38.75,45.00,38.68,38.93
8222,TM,183.80,606957.00,Consumer Cyclical,Auto Manufacturers,13.00,5.00,6.00,17.00,344848.00,415030.00,248.90,167.18,217638567936.00,No,,207.42,207.57,200.98,212.77
8223,LRN,87.34,803980.00,Consumer Defensive,Education & Training Services,13.00,15.00,44.00,81.00,794765.00,1087180.00,171.17,60.61,3714119424.00,No,,90.27,102.36,89.98,81.12
8224,QNRX,6.28,10763.00,Healthcare,Biotechnology,13.00,68.00,13.00,8.00,100011.00,20280.00,41.80,5.20,11326778.00,No,,6.98,9.72,6.59,9.98
8225,ADSK,236.07,1823730.00,Technology,Software - Application,13.00,73.00,28.00,11.00,2140715.00,1842090.00,329.09,214.10,49845059584.00,No,,242.89,278.88,238.99,265.23
8226,SAMG,13.26,8922.00,Financial Services,Asset Management,13.00,46.00,13.00,23.00,30465.00,23800.00,16.99,12.79,101662352.00,No,2026-05-11,13.71,14.86,13.44,14.34
8227,BIZD,12.62,4669142.00,ETF,ETF,13.00,49.00,19.00,16.00,4372971.00,3406270.00,16.95,11.97,,No,,12.80,14.21,12.70,13.61
8228,ALRM,43.72,595112.00,Technology,Software - Application,13.00,52.00,18.00,18.00,478480.00,474530.00,60.76,41.50,2162416896.00,No,,45.63,50.29,44.95,48.36
8229,OKTA,81.69,2289904.00,Technology,Software - Infrastructure,13.00,93.00,18.00,21.00,3791106.00,2714910.00,127.57,62.66,14324051968.00,No,,76.42,85.54,76.35,82.31
8230,LEUX,22.29,59927.00,ETF,ETF,12.00,87.00,,,35323.00,96430.00,28.93,15.00,,No,,21.63,,21.10,
8231,PFSI,88.35,519576.00,Financial Services,Mortgage Finance,12.00,14.00,19.00,7.00,687265.00,635870.00,160.36,82.65,4587562496.00,No,,89.00,112.34,89.25,111.36
8232,HRMY,30.18,750272.00,Healthcare,Biotechnology,12.00,61.00,8.00,24.00,1005256.00,795010.00,40.87,25.52,1747201024.00,No,,29.25,32.85,29.23,32.91
8233,CBXA,22.98,13541.00,ETF,ETF,12.00,57.00,29.00,11.00,1910.00,1300.00,30.24,21.77,,No,,22.60,26.62,22.55,25.21
8234,AKTS,18.27,133032.00,Healthcare,Biotechnology,12.00,73.00,25.00,,336716.00,198900.00,29.16,14.72,1009892544.00,No,,18.77,,18.39,
8235,RYN,20.31,2180123.00,Real Estate,REIT - Specialty,12.00,13.00,16.00,16.00,2857820.00,2422950.00,27.34,19.49,6161205248.00,No,,20.88,23.06,20.66,21.87
8236,RSG,197.73,1716762.00,Industrials,Waste Management,12.00,8.00,13.00,23.00,1536126.00,1777760.00,258.75,196.44,60778962944.00,No,,215.93,219.72,211.90,214.91
8237,FSOL,11.67,660010.00,ETF,ETF,12.00,86.00,82.00,,277883.00,242970.00,17.48,8.90,,No,,10.24,,10.35,
8238,BBAR,15.56,547729.00,Financial Services,Banks - Regional,12.00,12.00,11.00,20.00,672833.00,641690.00,23.10,7.76,3177923072.00,No,,14.86,14.82,14.79,16.01
8239,IPAR,90.25,343977.00,Consumer Defensive,Household & Personal Products,12.00,15.00,15.00,44.00,273445.00,271750.00,142.61,77.21,2890326528.00,No,,92.48,96.44,92.21,91.49
8240,RDNT,55.90,2414961.00,Healthcare,Diagnostics & Research,12.00,41.00,8.00,7.00,863356.00,869910.00,85.84,50.76,4375377408.00,No,,59.51,69.49,57.89,68.76
8241,COE,27.00,1334.00,Consumer Defensive,Education & Training Services,12.00,85.00,13.00,3.00,8090.00,10760.00,56.13,15.32,162197504.00,No,,23.28,33.52,22.79,31.16
8242,PEX,22.27,16795.00,ETF,ETF,12.00,45.00,18.00,15.00,4090.00,1300.00,29.48,20.49,,No,,22.21,24.96,22.10,23.86
8243,GRFS,7.80,804454.00,Healthcare,Drug Manufacturers - General,12.00,11.00,8.00,19.00,754058.00,599510.00,11.14,7.10,5308487680.00,No,,8.17,9.14,8.03,8.71
8244,BMA,74.73,217212.00,Financial Services,Banks - Regional,12.00,9.00,8.00,14.00,362903.00,379460.00,106.15,38.30,4778164224.00,No,,74.26,74.69,73.43,82.04
8245,RGEN,115.91,1283636.00,Healthcare,Medical Instruments & Supplies,12.00,14.00,8.00,11.00,983905.00,1202350.00,175.77,109.50,6538221568.00,No,,120.25,138.18,118.15,141.48
8246,BRKU,21.51,249314.00,ETF,ETF,12.00,20.00,14.00,15.00,237946.00,297650.00,29.49,20.25,,No,,21.82,23.85,21.51,23.47
8247,CVLT,104.00,612139.00,Technology,Software - Application,12.00,87.00,87.00,12.00,1065813.00,908390.00,200.68,71.75,4573116416.00,No,,87.82,130.19,90.01,107.34
8248,WFC,73.58,24836444.00,Financial Services,Banks - Diversified,12.00,4.00,6.00,14.00,17389350.00,17187740.00,97.76,71.90,225168752640.00,No,,79.97,84.33,78.58,85.28
8249,RPM,99.54,497650.00,Basic Materials,Specialty Chemicals,12.00,7.00,10.00,20.00,961473.00,811000.00,129.12,92.92,12748653568.00,No,,102.52,110.95,101.42,106.48
8250,CBTA,23.55,906.00,ETF,ETF,12.00,66.00,57.00,10.00,2480.00,1940.00,33.57,20.94,,No,,22.53,27.82,22.53,25.68
8251,PDD,98.80,5424465.00,Consumer Cyclical,Internet Retail,12.00,19.00,20.00,8.00,7037823.00,5664280.00,139.41,95.24,140631572480.00,No,,100.63,114.55,99.98,109.51
8252,RITM,9.70,4031005.00,Real Estate,REIT - Mortgage,12.00,16.00,16.00,15.00,10245675.00,5557950.00,12.74,8.43,5415574016.00,No,,9.70,10.98,9.66,10.54
8253,FIVY,27.08,2691.00,ETF,ETF,12.00,82.00,72.00,11.00,4161.00,7800.00,41.88,22.23,,No,,24.55,31.61,24.68,28.40
8254,NCTY,6.51,94850.00,Financial Services,Capital Markets,12.00,92.00,80.00,11.00,29625.00,34310.00,12.51,5.00,99428320.00,No,,5.64,7.39,5.60,6.50
8255,UYG,78.12,16238.00,ETF,ETF,12.00,41.00,14.00,13.00,14960.00,9090.00,104.32,68.44,,No,,77.04,89.52,76.26,85.90
8256,COF,183.93,5446927.00,Financial Services,Credit Services,12.00,12.00,9.00,14.00,4985273.00,4134460.00,259.64,174.98,114458312704.00,No,,189.37,213.65,187.54,211.08
8257,BXSL,23.62,2635987.00,Financial Services,Asset Management,12.00,49.00,20.00,17.00,2812828.00,2807150.00,32.81,22.47,5495240192.00,No,,24.04,26.47,23.86,25.41
8258,OPXS,10.42,20976.00,Industrials,Aerospace & Defense,12.00,6.00,3.00,5.00,40288.00,25840.00,17.76,6.69,72287272.00,No,,12.17,13.33,11.78,13.55
8259,GLDY,15.07,39818.00,ETF,ETF,12.00,18.00,15.00,16.00,47430.00,38010.00,19.35,14.60,,No,,15.68,16.81,15.38,16.35
8260,SQFTP,6.41,2599.00,Real Estate,REIT - Diversified,12.00,6.00,96.00,2.00,6720.00,3430.00,15.99,3.65,,No,,6.61,11.91,6.61,10.33
8261,ELMT,15.58,284369.00,Industrials,Aerospace & Defense,12.00,,,,1491683.00,629740.00,22.25,14.69,469477824.00,Yes,,,,,
8262,PMN,10.68,60023.00,Healthcare,Biotechnology,12.00,3.00,9.00,59.00,46216.00,42780.00,39.75,6.27,95774960.00,No,,14.80,12.52,12.99,11.96
8263,ALKT,17.22,1225062.00,Technology,Software - Application,12.00,69.00,48.00,16.00,1975303.00,2145930.00,31.66,14.11,1842870144.00,No,,16.80,20.73,16.82,19.19
8264,RICK,24.31,90940.00,Consumer Cyclical,Restaurants,12.00,38.00,60.00,42.00,65915.00,38060.00,47.00,20.76,186007968.00,No,,23.94,26.98,23.93,24.19
8265,AMCR,40.20,4234932.00,Consumer Cyclical,Packaging & Containers,12.00,16.00,9.00,25.00,5563125.00,4917330.00,50.94,36.67,18586296320.00,No,,40.52,42.52,39.73,42.26
8266,AWI,159.43,292001.00,Industrials,Building Products & Equipment,12.00,7.00,7.00,14.00,549033.00,545350.00,206.08,149.06,6804286464.00,No,,169.46,186.19,168.13,182.38
8267,VREX,9.70,998956.00,Healthcare,Medical Devices,12.00,4.00,3.00,12.00,312651.00,472650.00,14.56,6.76,409031616.00,No,,11.39,11.73,10.96,11.98
8268,MH,11.42,274729.00,Consumer Defensive,Education & Training Services,12.00,4.00,15.00,41.00,476780.00,398890.00,18.00,10.70,2181237248.00,No,,13.36,14.15,12.88,14.23
