Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
1060,TFIN,76.31,141985,Financial Services,Banks - Regional,84.0,80.0,85.0,76.0,2.4021,2.34,264146.0,287190.0,77.9,46.43,1816654976,NO,69.42,61.66,70.58,65.25,,2926,0.0,141985,NO,NO,2018-08-03,4469000
1062,UVE,41.36,180052,Financial Services,Insurance - Property & Casualty,84.0,88.0,72.0,79.0,1.2804,1.1496,202700.0,226130.0,42.13,21.96,1154403840,NO,38.49,33.37,38.98,35.0,,5803,0.0,180052,NO,NO,2015-11-17,9240400
1063,DINO,69.65,3106426,Energy,Oil & Gas Refining & Marketing,84.0,37.0,49.0,91.0,2.4164,2.1743,2305525.0,2548740.0,74.73,40.68,12556184576,NO,68.32,57.06,69.65,59.21,,11666,0.0,3106426,NO,NO,2021-06-03,44093600
1077,SRRK,55.0,1687414,Healthcare,Biotechnology,84.0,88.0,80.0,78.0,2.3189,2.2804,1577558.0,2491730.0,56.54,27.07,6590558720,NO,47.99,42.85,48.71,46.56,,2034,0.0,1687414,NO,NO,2020-10-27,53359100
1086,FOR,31.65,92005,Real Estate,Real Estate - Development,84.0,91.0,83.0,84.0,0.9664,0.9136,150219.0,159610.0,32.06,19.88,1614426368,NO,27.91,26.57,28.42,27.15,,4664,0.0,92005,NO,NO,2017-06-05,12937200
1087,BH,426.03,42950,Consumer Cyclical,Restaurants,84.0,98.0,86.0,77.0,20.5293,20.3693,71035.0,58930.0,483.6,234.92,1337316736,NO,307.96,338.82,322.8,347.2,,11666,0.0,42950,NO,NO,2026-04-08,399300
1103,WKC,32.94,495313,Energy,Oil & Gas Refining & Marketing,84.0,90.0,88.0,89.0,0.9111,0.8789,915033.0,1462650.0,33.95,22.21,1691648512,NO,28.89,25.96,30.03,26.6,,10035,0.0,495313,NO,NO,2021-08-03,14343300
1104,FBT,247.89,53180,ETF,ETF,84.0,87.0,81.0,71.0,4.3825,4.0018,59893.0,113470.0,248.85,158.92,0,NO,217.96,205.33,222.98,211.97,,5035,0.0,53180,NO,NO,2016-02-05,17193300
1114,NGS,43.14,59818,Energy,Oil & Gas Equipment & Services,84.0,85.0,54.0,84.0,1.6551,1.6094,113206.0,192910.0,44.61,22.72,555488768,NO,41.22,35.11,41.57,38.11,,5959,0.0,59818,NO,NO,2005-10-06,3607100
1143,NODE,43.32,13843,ETF,ETF,83.0,11.0,88.0,79.0,1.8099,1.5121,13209.0,9150.0,54.32,29.73,0,NO,43.94,39.8,44.24,38.97,,283,0.0,13843,NO,NO,2025-11-14,232900
1147,JSML,93.06,44089,ETF,ETF,83.0,79.0,87.0,80.0,2.4307,2.1444,16943.0,25660.0,98.01,66.34,0,NO,85.68,77.35,87.02,78.99,,2601,0.32,44089,NO,NO,2025-03-18,1215800
1159,RAMP,37.64,400304,Technology,Software - Infrastructure,83.0,50.0,88.0,82.0,0.23,0.2189,1539716.0,1570770.0,37.92,21.71,2261707264,NO,34.35,29.17,35.36,29.83,,10718,0.19,400304,NO,NO,2001-04-02,17869900
1161,BWFG,58.75,67886,Financial Services,Banks - Regional,83.0,88.0,74.0,82.0,1.7857,1.76,56150.0,109790.0,59.89,35.83,468424320,NO,53.33,48.39,54.35,50.34,,4085,0.0,67886,NO,NO,2021-06-25,928300
1171,XES,112.08,293931,ETF,ETF,83.0,12.0,12.0,88.0,2.9071,2.675,127924.0,120020.0,135.35,62.71,0,NO,122.98,99.73,121.22,109.43,,5036,0.0,293931,NO,NO,2023-04-03,1256400
1185,EZJ,64.84,1790,ETF,ETF,83.0,47.0,80.0,81.0,2.1329,1.1157,5912.0,4760.0,71.55,39.68,0,NO,62.9,56.81,63.75,59.5,,4293,0.0,1790,NO,NO,2011-03-15,2004000
1201,TRNS,92.77,219745,Industrials,Specialty Business Services,82.0,85.0,83.0,92.0,3.6135,3.5978,162732.0,181970.0,94.76,50.23,866536512,NO,82.37,71.51,83.83,74.4,,12242,0.49,219745,NO,NO,1998-02-18,1505600
1202,FCAP,64.64,5528,Financial Services,Banks - Regional,82.0,73.0,78.0,54.0,1.6614,1.575,6022.0,14180.0,71.0,33.73,216255120,NO,58.9,52.37,60.63,56.19,,6914,0.0,5528,NO,NO,2021-06-25,422900
