IndustryRank,Ticker,Price,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,Gap (%),IPO,HVE
4,AAOI,107.0,Technology,Communication Equipment,97.0,3.0,2.0,56.0,6.4909,5.9262,0.0,NO,NO
5,FEIM,85.05,Technology,Communication Equipment,96.0,97.0,91.0,96.0,5.5634,4.3691,0.0,NO,NO
1,QMCO,25.65,Technology,Computer Hardware,98.0,95.0,98.0,98.0,1.7393,1.685,0.0,NO,NO
2,DELL,548.92,Technology,Computer Hardware,98.0,96.0,92.0,98.0,36.7007,32.5486,0.0,NO,NO
3,SNDK,1887.04,Technology,Computer Hardware,98.0,96.0,22.0,98.0,104.9066,93.9151,0.0,NO,NO
4,STX,919.84,Technology,Computer Hardware,97.0,91.0,9.0,97.0,51.6086,48.5586,0.0,NO,NO
5,WDC,464.6,Technology,Computer Hardware,97.0,74.0,1.0,93.0,25.0421,23.1957,0.0,NO,NO
1,MDLZ,61.08,Consumer Defensive,Confectioners,41.0,20.0,44.0,46.0,1.2211,1.1739,0.74,NO,NO
2,TR,37.53,Consumer Defensive,Confectioners,26.0,10.0,49.0,8.0,0.8829,0.8046,0.62,NO,NO
3,HSY,168.46,Consumer Defensive,Confectioners,7.0,8.0,16.0,3.0,3.58,3.3864,0.0,NO,NO
1,RCMT,40.8,Industrials,Conglomerates,96.0,64.0,95.0,97.0,1.5164,1.4293,0.15,NO,NO
2,AIRT,31.53,Industrials,Conglomerates,93.0,92.0,94.0,90.0,1.8732,1.8639,0.0,NO,NO
3,MMM,169.3,Industrials,Conglomerates,55.0,19.0,67.0,65.0,3.4693,3.2871,0.87,NO,NO
4,DLX,23.81,Industrials,Conglomerates,47.0,73.0,69.0,6.0,0.6271,0.5575,1.19,NO,NO
5,OTTR,90.23,Industrials,Conglomerates,47.0,58.0,55.0,40.0,1.7221,1.6721,0.26,NO,NO
1,HURN,157.86,Industrials,Consulting Services,89.0,39.0,97.0,78.0,5.5043,5.1379,0.0,NO,NO
2,EFTY,15.02,Industrials,Consulting Services,70.0,78.0,60.0,35.0,0.0,0.0,0.0,NO,NO
3,ICFI,83.58,Industrials,Consulting Services,65.0,16.0,91.0,77.0,2.4807,2.3421,0.0,NO,NO
4,BAH,76.28,Industrials,Consulting Services,31.0,54.0,89.0,13.0,2.4025,2.1454,0.0,NO,NO
5,CRAI,158.74,Industrials,Consulting Services,13.0,7.0,81.0,31.0,5.3857,5.1293,0.0,NO,NO
1,AAPL,339.75,Technology,Consumer Electronics,86.0,92.0,86.0,88.0,7.1414,6.965,0.0,NO,NO
2,SONO,16.85,Technology,Consumer Electronics,70.0,89.0,89.0,81.0,0.7236,0.6704,1.53,NO,NO
3,SONY,23.42,Technology,Consumer Electronics,46.0,41.0,89.0,60.0,0.4957,0.3079,0.0,NO,NO
1,ERO,37.29,Basic Materials,Copper,95.0,19.0,94.0,92.0,2.0741,1.5448,2.22,NO,NO
2,HBM,27.74,Basic Materials,Copper,93.0,12.0,80.0,92.0,1.3504,1.04,0.84,NO,NO
3,SCCO,206.14,Basic Materials,Copper,92.0,23.0,87.0,86.0,8.4186,6.6486,0.48,NO,NO
4,TECK,68.88,Basic Materials,Copper,92.0,60.0,86.0,91.0,2.54,1.8621,1.54,NO,NO
5,FCX,74.35,Basic Materials,Copper,91.0,33.0,86.0,88.0,3.0821,2.3857,0.68,NO,NO
1,PMTS,24.95,Financial Services,Credit Services,94.0,6.0,94.0,95.0,1.4804,1.1594,0.41,NO,NO
2,ECPG,98.29,Financial Services,Credit Services,94.0,34.0,85.0,90.0,3.4775,3.4261,0.0,NO,NO
3,EZPW,30.71,Financial Services,Credit Services,88.0,22.0,18.0,72.0,1.1011,1.0954,0.76,NO,NO
4,AGM,218.83,Financial Services,Credit Services,86.0,55.0,86.0,93.0,5.1943,5.0186,0.0,NO,NO
5,BFH,102.69,Financial Services,Credit Services,86.0,33.0,37.0,89.0,3.8011,3.6675,0.0,NO,NO
1,DDS,650.17,Consumer Cyclical,Department Stores,64.0,86.0,85.0,63.0,21.8639,21.3161,0.09,NO,NO
2,M,22.78,Consumer Cyclical,Department Stores,59.0,63.0,19.0,83.0,0.9782,0.9246,1.76,NO,NO
3,KSS,18.27,Consumer Cyclical,Department Stores,52.0,84.0,65.0,89.0,0.8882,0.8275,1.89,NO,NO
1,CDNA,56.49,Healthcare,Diagnostics & Research,98.0,95.0,98.0,98.0,2.0633,2.0626,0.2,NO,NO
2,BDSX,28.15,Healthcare,Diagnostics & Research,98.0,88.0,95.0,96.0,1.6774,1.6724,0.0,NO,NO
3,GRAL,108.52,Healthcare,Diagnostics & Research,97.0,97.0,97.0,97.0,6.1164,5.2935,0.0,NO,NO
4,NEO,18.89,Healthcare,Diagnostics & Research,97.0,93.0,97.0,97.0,0.7893,0.7836,0.0,NO,NO
5,PSNL,16.36,Healthcare,Diagnostics & Research,97.0,6.0,97.0,97.0,0.4729,0.4714,0.31,NO,NO
1,TBBB,51.38,Consumer Defensive,Discount Stores,94.0,76.0,90.0,93.0,1.4562,1.3751,0.0,NO,NO
2,TGT,159.02,Consumer Defensive,Discount Stores,93.0,28.0,88.0,89.0,3.4793,3.245,0.1,NO,NO
3,PSMT,172.81,Consumer Defensive,Discount Stores,81.0,65.0,14.0,73.0,3.7164,3.6757,1.07,NO,NO
4,DG,122.63,Consumer Defensive,Discount Stores,46.0,59.0,76.0,21.0,3.7671,3.6482,0.0,NO,NO
5,DLTR,115.04,Consumer Defensive,Discount Stores,45.0,5.0,51.0,43.0,4.2764,4.0843,0.48,NO,NO
1,MRK,150.91,Healthcare,Drug Manufacturers - General,93.0,53.0,92.0,86.0,3.1286,2.9686,0.0,NO,NO
2,BIIB,225.36,Healthcare,Drug Manufacturers - General,88.0,85.0,85.0,79.0,6.0064,5.5907,0.07,NO,NO
3,AMGN,410.24,Healthcare,Drug Manufacturers - General,86.0,14.0,88.0,69.0,11.8125,9.2911,3.08,NO,NO
4,JNJ,269.19,Healthcare,Drug Manufacturers - General,86.0,61.0,84.0,63.0,5.3936,4.9064,0.0,NO,NO
5,GILD,152.67,Healthcare,Drug Manufacturers - General,84.0,86.0,90.0,55.0,3.4108,3.2365,0.06,NO,NO
1,AMLX,33.0,Healthcare,Drug Manufacturers - Specialty & Generic,98.0,3.0,98.0,97.0,1.5521,1.5086,0.4,NO,NO
2,ETON,57.09,Healthcare,Drug Manufacturers - Specialty & Generic,98.0,7.0,97.0,97.0,2.6743,2.6443,0.0,NO,NO
3,ANIK,20.89,Healthcare,Drug Manufacturers - Specialty & Generic,96.0,26.0,95.0,91.0,0.6025,0.5989,0.0,NO,NO
4,KNSA,78.0,Healthcare,Drug Manufacturers - Specialty & Generic,96.0,49.0,93.0,94.0,2.6132,2.5382,0.0,NO,NO
5,LQDA,68.64,Healthcare,Drug Manufacturers - Specialty & Generic,96.0,66.0,14.0,96.0,2.6686,2.6136,0.24,NO,NO
1,SBTU,58.01,ETF,ETF,98.0,99.0,99.0,98.0,5.6172,3.7981,3.2,NO,NO
2,BWET,682.01,ETF,ETF,98.0,98.0,98.0,98.0,76.6836,58.1813,0.0,NO,NO
3,ZCSH,121.86,ETF,ETF,98.0,98.0,98.0,98.0,10.0782,7.0304,0.0,NO,NO
4,MRNX,127.23,ETF,ETF,98.0,98.0,98.0,98.0,13.0778,12.1114,0.0,NO,NO
5,OKTG,51.31,ETF,ETF,98.0,98.0,98.0,98.0,4.1366,3.8114,2.47,NO,NO
1,EDU,54.74,Consumer Defensive,Education & Training Services,61.0,42.0,90.0,26.0,1.3143,1.0464,0.0,NO,NO
2,LAUR,36.13,Consumer Defensive,Education & Training Services,51.0,30.0,36.0,41.0,0.8918,0.8807,0.0,NO,NO
3,CVSA,123.0,Consumer Defensive,Education & Training Services,49.0,13.0,53.0,58.0,3.7807,3.5464,0.0,NO,NO
