Rank,Ticker,Price,Sector,Industry,Relative Strength Percentile,1 Month Ago Percentile,3 Months Ago Percentile,6 Months Ago Percentile
311,PSNL,6.91,Healthcare,Diagnostics & Research,96,98.0,94.0,98.0
312,FSI,5.74,Basic Materials,Specialty Chemicals,96,92.0,91.0,99.0
313,STRL,254.55,Industrials,Engineering & Construction,96,97.0,92.0,89.0
314,RBRK,84.45,Technology,Software - Infrastructure,96,98.0,97.0,97.0
315,TME,21.52,Communication Services,Internet Content & Information,96,95.0,86.0,59.0
316,NRG,160.1,Utilities,Utilities - Independent Power Producers,96,97.0,95.0,93.0
317,CCRD,27.31,Technology,Software - Application,96,96.0,96.0,96.0
318,DUOT,8.25,Technology,Software - Application,96,98.0,98.0,95.0
319,HWM,186.71,Industrials,Aerospace & Defense,96,97.0,97.0,95.0
320,DB,33.92,Financial Services,Banks - Regional,96,96.0,97.0,88.0
321,UI,446.99,Technology,Communication Equipment,96,97.0,97.0,98.0
322,ALLT,7.9,Technology,Software - Infrastructure,96,98.0,97.0,99.0
323,MPAA,11.91,Consumer Cyclical,Auto Parts,96,92.0,97.0,74.0
324,KEN,48.07,Utilities,Utilities - Independent Power Producers,96,94.0,89.0,84.0
325,LUNR,13.43,Industrials,Aerospace & Defense,96,94.0,85.0,99.0
326,CMP,21.19,Basic Materials,Other Industrial Metals & Mining,96,98.0,78.0,7.0
327,MTSR,39.58,Healthcare,Biotechnology,96,30.0,9.0,96.0
328,NNE,37.75,Industrials,Specialty Industrial Machinery,96,97.0,98.0,99.0
329,YINN,48.3,ETF,ETF,96,93.0,93.0,93.0
330,ODD,69.68,Technology,Software - Infrastructure,96,97.0,90.0,85.0
331,AVXL,13.81,Healthcare,Biotechnology,96,94.0,98.0,96.0
332,HTZ,7.89,Industrials,Rental & Leasing Services,96,98.0,99.0,63.0
333,BITU,61.55,ETF,ETF,96,96.0,87.0,97.0
334,OPFI,11.45,Financial Services,Credit Services,96,99.0,98.0,99.0
335,ORLA,10.21,Basic Materials,Gold,96,97.0,99.0,94.0
336,CVAC,5.45,Healthcare,Biotechnology,96,98.0,86.0,87.0
337,IBKR,63.66,Financial Services,Capital Markets,96,94.0,89.0,97.0
338,NVDU,116.4,ETF,ETF,96,91.0,4.0,50.0
339,VST,198.18,Utilities,Utilities - Independent Power Producers,96,97.0,95.0,98.0
340,W,63.49,Consumer Cyclical,Internet Retail,96,84.0,4.0,53.0
341,ARKW,156.03,ETF,ETF,96,96.0,88.0,94.0
342,CCJ,79.12,Energy,Uranium,96,96.0,33.0,44.0
343,INUV,5.81,Technology,Software - Application,96,86.0,91.0,95.0
344,AGEN,5.93,Healthcare,Biotechnology,96,97.0,6.0,1.0
345,TIL,30.46,Healthcare,Biotechnology,96,95.0,8.0,94.0
346,INDV,16.75,Healthcare,Drug Manufacturers - Specialty & Generic,96,91.0,42.0,24.0
347,ATI,94.04,Industrials,Metal Fabrication,96,96.0,33.0,55.0
348,BIRD,11.99,Consumer Cyclical,Apparel Retail,96,87.0,3.0,1.0
349,PULM,5.9,Healthcare,Biotechnology,96,98.0,99.0,99.0
350,AMBR,7.25,Technology,Software - Infrastructure,96,99.0,99.0,99.0
351,KZIA,10.2,Healthcare,Biotechnology,96,7.0,0.0,0.0
352,ASPS,13.0,Real Estate,Real Estate Services,96,96.0,56.0,0.0
353,TWLO,131.9,Technology,Software - Infrastructure,95,96.0,91.0,98.0
354,LNSR,13.11,Healthcare,Medical Devices,95,98.0,99.0,98.0
355,MSTU,8.56,ETF,ETF,95,97.0,98.0,99.0
356,NVDX,17.07,ETF,ETF,95,89.0,4.0,64.0
357,ROOT,123.83,Financial Services,Insurance - Property & Casualty,95,98.0,99.0,99.0
358,ILPT,5.5,Real Estate,REIT - Industrial,95,89.0,5.0,24.0
359,ARMU,35.26,ETF,ETF,95,95.0,9.0,95.0
360,SLSR,5.09,Basic Materials,Other Precious Metals & Mining,95,95.0,97.0,86.0
361,VENU,13.77,Consumer Cyclical,Restaurants,95,90.0,9.0,19.0
