Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
238,TSMX,93.21,928024,ETF,ETF,95.0,61.0,95.0,95.0,9.3462,7.4099,1105247.0,1073450.0,106.32,30.79,,0,NO,84.62,62.96,85.7,69.69,438,5.79,928024,NO,NO,2025-01-27,3911500.0,-12.33
239,EWTX,40.1,498035,Healthcare,Biotechnology,95.0,83.0,78.0,93.0,2.5902,2.5495,1417868.0,1416330.0,43.93,12.3,,4314479616,NO,35.16,27.27,36.36,31.58,1324,0.0,498035,NO,NO,2025-04-02,16114400.0,-8.72
240,DDOG,255.37,4736394,Technology,Software - Application,95.0,61.0,97.0,95.0,11.7272,11.3497,5875390.0,4817140.0,278.7,98.01,,90901553152,NO,210.4,156.69,232.03,160.45,1706,0.0,4736394,NO,NO,2025-07-08,86386000.0,-8.37
244,KLAC,233.31,12010608,Technology,Semiconductor Equipment & Materials,95.0,82.0,93.0,96.0,22.5564,18.6671,11963300.0,18381640.0,307.37,83.22,,304767074304,NO,209.85,152.65,217.29,172.59,11526,0.0,12010608,YES,NO,2002-10-23,329584000.0,-24.09
245,MTSI,327.64,1524225,Technology,Semiconductors,95.0,4.0,90.0,95.0,24.8036,21.2704,1558862.0,2289700.0,418.9,118.16,,24997550080,NO,354.1,233.08,362.19,272.23,3596,0.0,1524225,NO,NO,2018-02-07,14046200.0,-21.79
250,USD,90.36,520170,ETF,ETF,95.0,3.0,96.0,94.0,8.9329,6.4286,1066275.0,985690.0,116.5,36.67,,0,NO,94.65,64.35,95.41,70.1,4886,0.0,520170,NO,NO,2008-12-09,144076800.0,-22.44
251,LGND,320.42,337748,Healthcare,Biotechnology,95.0,97.0,94.0,94.0,13.8804,13.2904,322875.0,854640.0,322.31,112.83,,6421556736,NO,246.46,208.13,260.69,221.42,8463,0.0,337748,NO,NO,2019-01-16,13747168.0,-0.59
252,FTNT,162.35,5160942,Technology,Software - Infrastructure,95.0,83.0,97.0,96.0,6.0214,5.8529,6475762.0,7313450.0,163.57,70.12,,118945472512,NO,128.31,93.56,141.44,101.24,4180,0.0,5160942,NO,NO,2018-10-10,166853000.0,-0.75
258,BHE,85.57,328430,Technology,Electronic Components,95.0,19.0,93.0,96.0,5.1971,4.6236,487139.0,759910.0,100.41,34.44,,3069998080,NO,85.66,58.3,86.98,66.23,9070,0.0,328430,NO,NO,2003-04-22,6885225.0,-14.78
259,SOXQ,101.53,1623589,ETF,ETF,95.0,11.0,95.0,95.0,6.3351,4.5111,2520077.0,3318890.0,115.33,42.67,,0,NO,97.46,68.53,99.98,76.2,1271,0.0,1623589,NO,NO,2026-06-05,6881000.0,-11.97
