Ticker,Days,Start_Date,End_Date,Sufficient,3M_Return,6M_Return,9M_Return,12M_Return,Strength_Stock,Strength_Ref,RS,Recomputed_RS,Match
CGIC,498,2024-06-27,2026-06-23,Sufficient,0.0986,0.1225,0.1774,0.2719,0.1538,0.1326,101.87,101.87,OK
IOO,501,2024-06-24,2026-06-23,Sufficient,0.1149,0.0902,0.1364,0.3115,0.1536,0.1326,101.86,101.86,OK
MVBF,501,2024-06-24,2026-06-23,Sufficient,0.1131,-0.0018,0.1621,0.3807,0.1534,0.1326,101.84,101.84,OK
CWI,501,2024-06-24,2026-06-23,Sufficient,0.1024,0.1329,0.1558,0.2734,0.1534,0.1326,101.84,101.84,OK
QNXT,415,2024-10-24,2026-06-23,Sufficient,0.1577,0.1177,0.1203,0.2131,0.1533,0.1326,101.83,101.83,OK
PTNQ,501,2024-06-24,2026-06-23,Sufficient,0.144,0.0964,0.1139,0.2678,0.1532,0.1326,101.82,101.82,OK
VMET,79,2026-03-02,2026-06-23,Short: 79d,0.136,0.1645,0.1645,0.1645,0.1531,0.1326,101.81,101.81,OK
ACES,501,2024-06-24,2026-06-23,Sufficient,0.0685,0.0711,0.1375,0.4183,0.1528,0.1326,101.79,101.79,OK
RF,501,2024-06-24,2026-06-23,Sufficient,0.1504,0.0655,0.0784,0.3194,0.1528,0.1326,101.79,101.79,OK
JHG,501,2024-06-24,2026-06-23,Sufficient,0.0231,0.1457,0.1582,0.4137,0.1527,0.1326,101.78,101.78,OK
FEAC,395,2024-11-21,2026-06-23,Sufficient,0.1337,0.1036,0.1277,0.2647,0.1527,0.1326,101.78,101.78,OK
GRBK,501,2024-06-24,2026-06-23,Sufficient,0.1744,0.1404,0.0462,0.2276,0.1526,0.1326,101.77,101.77,OK
NECB,501,2024-06-24,2026-06-23,Sufficient,0.1128,0.1151,0.2437,0.1788,0.1526,0.1326,101.77,101.77,OK
HEFA,501,2024-06-24,2026-06-23,Sufficient,0.1139,0.115,0.1781,0.2419,0.1526,0.1326,101.77,101.77,OK
FDBC,501,2024-06-24,2026-06-23,Sufficient,0.1467,0.0509,0.1524,0.2655,0.1524,0.1326,101.76,101.76,OK
JPSV,500,2024-06-24,2026-06-22,Sufficient,0.1621,0.1274,0.1053,0.2057,0.1525,0.1326,101.76,101.76,OK
XCOR,501,2024-06-24,2026-06-23,Sufficient,0.1387,0.1051,0.1273,0.2519,0.1523,0.1326,101.75,101.75,OK
MDY,501,2024-06-24,2026-06-23,Sufficient,0.121,0.1295,0.1458,0.244,0.1523,0.1326,101.74,101.74,OK
DBEF,501,2024-06-24,2026-06-23,Sufficient,0.1151,0.1075,0.1702,0.2534,0.1523,0.1326,101.74,101.74,OK
DJCO,501,2024-06-24,2026-06-23,Sufficient,0.0991,0.0099,0.1988,0.3544,0.1523,0.1326,101.74,101.74,OK
KRT,501,2024-06-24,2026-06-23,Sufficient,0.0754,0.2702,0.2355,0.1041,0.1521,0.1326,101.73,101.73,OK
USFD,501,2024-06-24,2026-06-23,Sufficient,0.0524,0.2254,0.2002,0.2307,0.1522,0.1326,101.73,101.73,OK
ICPY,197,2025-09-10,2026-06-23,Short: 197d,0.0851,0.1461,0.2179,0.2263,0.1521,0.1326,101.73,101.73,OK
AFRU,193,2025-09-16,2026-06-23,Short: 193d,1.1495,-0.3375,-0.6079,-0.593,0.1521,0.1326,101.73,101.73,OK
TT,501,2024-06-24,2026-06-23,Sufficient,0.1163,0.2313,0.1667,0.1302,0.1521,0.1326,101.73,101.73,OK
INFO,425,2024-10-10,2026-06-23,Sufficient,0.1317,0.1003,0.124,0.2728,0.1521,0.1326,101.72,101.72,OK
PPI,501,2024-06-24,2026-06-23,Sufficient,0.0424,0.1561,0.1811,0.3383,0.1521,0.1326,101.72,101.72,OK
CLH,501,2024-06-24,2026-06-23,Sufficient,0.0132,0.2142,0.2358,0.2825,0.1518,0.1326,101.7,101.7,OK
FEUZ,501,2024-06-24,2026-06-23,Sufficient,0.1054,0.1183,0.162,0.2674,0.1517,0.1326,101.69,101.69,OK
BROS,501,2024-06-24,2026-06-23,Sufficient,0.2863,0.038,0.1505,-0.0025,0.1517,0.1326,101.69,101.69,OK
IMFL,501,2024-06-24,2026-06-23,Sufficient,0.0777,0.1364,0.2143,0.2525,0.1517,0.1326,101.69,101.69,OK
STNC,501,2024-06-24,2026-06-23,Sufficient,0.1127,0.1376,0.1498,0.2456,0.1517,0.1326,101.69,101.69,OK
QVAL,501,2024-06-24,2026-06-23,Sufficient,0.0814,0.1258,0.1938,0.2754,0.1515,0.1326,101.68,101.68,OK
KINS,501,2024-06-24,2026-06-23,Sufficient,0.1669,0.0232,0.2564,0.1444,0.1516,0.1326,101.68,101.68,OK
SPMD,501,2024-06-24,2026-06-23,Sufficient,0.1217,0.13,0.1437,0.2405,0.1515,0.1326,101.68,101.68,OK
JHID,501,2024-06-24,2026-06-23,Sufficient,0.0727,0.1269,0.1982,0.287,0.1515,0.1326,101.67,101.67,OK
FFGX,395,2024-11-21,2026-06-23,Sufficient,0.1199,0.1346,0.1492,0.2337,0.1515,0.1326,101.67,101.67,OK
MTH,501,2024-06-24,2026-06-23,Sufficient,0.2325,0.1074,0.0021,0.1829,0.1515,0.1326,101.67,101.67,OK
EAFG,501,2024-06-24,2026-06-23,Sufficient,0.1332,0.1096,0.1465,0.235,0.1515,0.1326,101.67,101.67,OK
AGM,501,2024-06-24,2026-06-23,Sufficient,0.3267,0.0651,0.0315,0.0066,0.1513,0.1326,101.66,101.66,OK
TDACU,373,2024-12-23,2026-06-22,Sufficient,0.1485,0.1485,0.1529,0.1585,0.1513,0.1326,101.66,101.66,OK
IDUB,501,2024-06-24,2026-06-23,Sufficient,0.1086,0.131,0.1576,0.2503,0.1512,0.1326,101.65,101.65,OK
TRMK,501,2024-06-24,2026-06-23,Sufficient,0.0913,0.1129,0.1217,0.3392,0.1513,0.1326,101.65,101.65,OK
EINC,501,2024-06-24,2026-06-23,Sufficient,0.013,0.2591,0.2337,0.2368,0.1511,0.1326,101.64,101.64,OK
FLJP,501,2024-06-24,2026-06-23,Sufficient,0.1094,0.1113,0.1387,0.2869,0.1511,0.1326,101.64,101.64,OK
FCTR,501,2024-06-24,2026-06-23,Sufficient,0.1332,0.1339,0.1315,0.2235,0.1511,0.1326,101.63,101.63,OK
MCDS,377,2024-12-18,2026-06-23,Sufficient,0.126,0.1368,0.1483,0.2182,0.1511,0.1326,101.63,101.63,OK
AVNM,501,2024-06-24,2026-06-23,Sufficient,0.0856,0.1355,0.1676,0.2805,0.151,0.1326,101.62,101.62,OK
BALQ,138,2025-12-03,2026-06-23,Short: 138d,0.186,0.1435,0.1193,0.1193,0.1508,0.1326,101.62,101.62,OK
EOD,501,2024-06-24,2026-06-23,Sufficient,0.1235,0.1138,0.1393,0.2544,0.1509,0.1326,101.62,101.62,OK
DSPY,307,2025-04-02,2026-06-23,Sufficient,0.1278,0.1159,0.1358,0.2471,0.1509,0.1326,101.62,101.62,OK
JPXN,501,2024-06-24,2026-06-23,Sufficient,0.0897,0.1471,0.1458,0.2818,0.1508,0.1326,101.61,101.61,OK
